Feature,Type,Missing,Unique
date,datetime64[ns],0,518
hour,int64,0,16
area,object,0,3
status,object,0,3
latitude,float64,0,3
longitude,float64,0,3
data_source,object,0,2
road_corridor,object,0,3
location,object,25738,3
direction,object,25980,2
lane,float64,0,5
day_of_week,object,0,7
has_disruption,int64,0,2
disruption_type,object,0,5
disruption_description,object,0,17
month,int32,0,12
day_of_month,int32,0,31
is_weekend,int64,0,2
time_category,object,0,6
status_encoded,int64,0,3
is_rush_hour,int64,0,2
is_peak_am,int64,0,2
is_peak_pm,int64,0,2
is_holiday,int64,0,2
avg_volume,float64,0,309
total_volume,float64,0,296
volume_count,int64,0,5
status_lag_1h,float64,0,3
status_lag_2h,float64,0,3
status_lag_3h,float64,0,3
status_lag_24h,float64,0,3
volume_rolling_avg_3h,float64,0,751
volume_rolling_avg_6h,float64,0,909
volume_rolling_avg_24h,float64,0,1025
